Key	Wikidata ID	Description
Davis, J C (historian)	Q6104928	James Colin Davis, usually known as J. C. Davis or Colin Davis. Historian of political ideas.
Davis, Lloyd M (literary scholar)	Q87185738	Lloyd Moore Davis
Dawson, Daniel O (historian)	Q109908885	Daniel Orson Dawson.
Dawson, Lesel (literary scholar)	Q109908886	Lesel Dawson.
Daxon, Luke (historian)		Luke Daxon. 2005 article on Sir Thomas Fairfax.
Day, Jon (historian)	Q15052585	Jon Day
Day, William Ansell (historian)	Q87183682	William Ansell Day. Edited Pythouse Papers.
Daybell, James (historian)	Q56118338	James Daybell
De Beer, Esmond Samuel (historian)	Q5398576	Esmond Samuel de Beer. Edited John Evelyn’s diary.
De Groot, Jerome (historian)	Q87185742	Jerome Edward Gerard De Groot
Deadman, Hugo (historian)	Q87184954	Hugo Deadman
Deakin, Q E (historian)	Q109908887	Q. E. Deakin.
Dean, David (historian)	Q87185743	David Dean
Deane, John Bathurst (historian)	Q6221093	John Bathurst Deane
Dell, Alan (historian)	Q87184192	Alan Dell. Not the Radio 2 presenter.
Denton, Barry (historian)	Q87183686	Barry Denton
Derbridge, G (historian)		G. Derbridge. Contributor to Journal of the Society for Army Historical Research.
DesBrisay, Gordon R (historian)	Q109908888	Gordon Russell DesBrisay.
Devereux, Walter Bourchier (historian)	Q75969351	Walter Bourchier Devereux. Admiral and historian.
Dewar, Alfred Charles (historian)	Q75873834	Captain Alfred Charles Dewar (1876-1969). British naval officer and historian.
Dewhurst, Madeline (historian)	Q109908889	Madeline Anna Abney Dewhurst.
Dexter, Keri J (musicologist)	Q109908890	Keri John Dexter.
Dias, Jill R (historian)		Jill Rosemary Dias. ''Midland History'' article on lead in Derbyshire. Not clear if same as Africanist Jill Rosemary Dias.
Dick, Oliver Lawson (historian)	Q86982734	Oliver Lawson Dick. Edited John Aubrey.
Dickey, David N (literary scholar)	Q109908891	David Nathaniel Dickey.
Dickie, Trevor (historian)	Q109908892	Trevor Dickie.
Dickinson, Janet (historian)	Q88646836	Janet Dickinson. Historian of Elizabethan politics.
Dickinson, John R (historian)	Q109908893	John Roger Dickinson.
Dietz, Frederick Charles (historian)	Q87184194	Frederick Charles Dietz
Dillon, Harold Arthur (17th Viscount Dillon, historian)	Q5660494	Harold Arthur Dillon, 17th Viscount Dillon. Arms, armour and London Trained Bands.
Disbury, David George William (historian)	Q87184195	David George William Disbury
Dixon, John (historian)		John Dixon. Book on battle of Nantwich.
Dixon, Mary (historian)		Mary Dixon. Thesis University of Kent (1992): Economy and society in Dover 1509-1640.
Dobbie, Michelle Ann (historian)		Michelle Ann Dobbie. Thesis University of Cambridge (2009): The 'Queen's party': Henrietta Maria's court circle, 1625-1642.
Dolan, Frances E (historian)	Q61170030	Frances Elizabeth Dolan
Donagan, Barbara (historian)	Q66134112	Barbara Lynn Donagan
Donald, P H (historian)	Q109908894	P. H. Donald.
Doolittle, Ian G (historian)	Q87184956	Ian G. Doolittle
Dore, R N (historian)	Q63977724	Robert Norman Dore
Dorman, Rebecca (literary scholar)	Q109908896	Rebecca Dorman.
Doubleday, Herbert A (genealogist)	Q18671465	Herbert Arthur Doubleday (1867-1941). Genealogist and editor of ''The Complete Peerage''.
Dow, Frances D (historian)	Q86982735	Frances D. Dow
Dowd, Michelle (historian)	Q87185745	Michelle M. Dowd
Downes, Evana (historian)		Evana Frances Downes. PhD on food in early-modern London.
Downs, Jordan S (historian)	Q111688953	Jordan Swan Downs.
Drake, V C (historian)	Q109908898	V. C. Drake.
Duckett, George Floyd (historian)	Q18527379	Sir George Floyd Duckett, 3rd Baronet
Dudley, Imogene (historian)	Q123668420	Imogene Dudley. Women's work.
Duer, Leslie T (historian)	Q87184197	Leslie T. Duer
Duffin, Lorna (historian)	Q86982739	Lorna Duffin. Historian of women's work.
Duffin, P A (historian)	Q109908899	P. A. Duffin.
Dugaw, Dianne (literary scholar)	Q87185747	Dianne Dugaw
Dunn, Diana (historian)	Q87184199	Diana Dunn
Durston, Christopher G (historian)	Q59525271	Christopher G. Durston
Dymond, David P (historian)	Q121085660	David Percy Dymond. Local and landscape historian.
Dyos, Harold James (historian)	Q5661253	Harold James Dyos
Dyson, Brian (historian)	Q87184958	Brian Dyson
Dzelzanis, M M (literary scholar)	Q109908901	M. M. Dzelzanis.
Eales, Jacqueline (historian)	Q6120097	Jacqueline Susan Eales, formerly Levy.
Earle, Peter (historian)	Q87184961	Peter Earle
Earle, Philippa (literary scholar)	Q86982741	Philippa Helen Earle. Miltonist.
Earwaker, J P (historian)	Q15976244	John Parsons Earwaker
Easton, Fraser (literary scholar)	Q87183595	Kenneth Fraser Easton
Ecton, John (author)	Q6231121	John Ecton (-1730). Civil servant and author.
Eddershaw, David (historian)	Q87184200	David Eddershaw
Ede-Borrett, Stephen (historian)	Q63283512	Stephen Ede-Borrett.
Edgar, F T R (historian)	Q87183691	Frank Terrell Rhoades Edgar
Edmond, Mary (historian)	Q86982743	Mary Edmond
Edwards, Jesse R (historian)	Q109908902	Jesse R. Edwards.
Edwards, Peter (historian)	Q86982745	Peter Roger Edwards. Military and economic historian, especially history of horses.
El-Mowafy, M I (literary scholar)		M. I. El-Mowafy. Thesis Swansea University (1962): Arabia in English literature, 1650-1750.
Eley, Geoff (historian)	Q1036755	Geoff Eley. Middle name may be Howard.
Ellis, Henry (historian)	Q768291	Henry Ellis
Ellis, John (historian)	Q106810754	John Edward Kirkham Ellis. Thesis and book on intelligence. Not same as historian of 20th century wars John Robert Ellis.
Ellis, Norman (historian)	Q58793652	Norman Ellis
Elton, Geoffrey R (historian)	Q89433	Sir Geoffrey Rudolph Elton, aka Gottfried Rudolf Otto Ehrenberg.
Emberton, Wilfrid (historian)	Q63283502	Wilfrid or Wilf Emberton.
Emerson, W R (historian)		W. R. Emerson. Thesis University of Oxford (1951): The economic development of the estates of the Petre family in Essex in the sixteenth and seventeenth centuries.
Emery, Frank V (geographer)	Q20733059	Frank Vivian Emery. Historical geographer and landscape historian.
Emmett, Rebecca J (historian)	Q87183597	Rebecca J. Emmett
Emmison, Frederick George (archivist)	Q18526980	Frederick George Emmison. Archivist who wrote a guide to county records.
Enenkel, Karl A E (historian)	Q1730186	Karl Alfred Engelbert Enenkel. Austrian philologist and editor of historical works.
Engberg, Jens (historian)	Q12319272	Jens Engberg. Economic historian who wrote on royalist finance.
English, Barbara (historian)	Q86982746	Barbara English
Epstein, Stephan R (historian)	Q7608160	Stephan R. Epstein. Economic historian.
Epstein, William (historian)	Q86982748	William Epstein. Legal historian but not the same author who wrote about nuclear disarmament.
Erickson, Amy Louise (historian)	Q64597133	Amy Louise Erickson. Historian of women, property and business. Associated with Cambridge Population Group.
Esdaile, Charles (historian)	Q28151543	Charles Joseph Esdaile. Historian with interests in Napoleonic Wars, Spanish Civil War, and British Civil Wars.
Essex, James (architect)	Q15999824	James Essex (1722-1784). Architect and historian.
Evans, David S (historian)	Q86982749	David Sidney Evans. Thesis on Edward Massey.
Evans, John T (historian)	Q123668421	John T. Evans. Local historian of Norwich.
Evans, Nesta (historian)	Q109908903	Nesta Evans.
Everest, James (historian)	Q109908904	James Everest.
Everitt, Alan M (historian)	Q87184202	Alan Milner Everitt
Ewan, Elizabeth (historian)	Q87184962	Elizabeth Ewan
Ewen, Misha (historian)	Q86982751	Misha Odessa Ewen
Faber, Benne Klaas (literary scholar)	Q109908905	Benne Klaas Faber.
Falconer, Rachel (literary scholar)	Q112435563	Rachel Falconer. Thesis University of Oxford (1989): Some aspects of the influence of Virgil on Milton's style.
Falvey, Heather (historian)	Q87184964	Heather Falvey
Fanshawe, Herbert Charles (historian)	Q87184205	Herbert Charles Fanshawe
Farmer, Henry G (musicologist)	Q5721884	Henry George Farmer. Musicologist and contributor to Journal of the Society for Army Historical Research.
Farnell, James E (historian)		James E. Farnell. Active in 1970s.
Farr, David N (historian)	Q5237880	David N. Farr
Farrow, G W E (historian)	Q124336678	Major G. W. E. Farrow. Contributor to Journal of the Society for Army Historical Research. Also published elsewhere on metallurgy and gunfounding. May have lived in Ledbury, Herefordshire.
Farrow, Margaret Arabella (historian)	Q87184207	Margaret Arabella Farrow
Farrow, William John (historian)	Q123668422	William John Farrow. Local historian of Shropshire.
Feather, Jennifer (literary scholar)	Q87184973	Jennifer Feather
Feingold, Mordechai (historian)	Q80131050	Mordechai Feingold.
Ferdon, Gai Marie (historian)	Q109908907	Gai Marie Ferdon.
Ferguson, Margaret W (historian)	Q87185748	Margaret W. Ferguson
Fergusson, Stewart (historian)		Stewart Fergusson. Contributor to Midland History.
Ferrell, Lori Anne (historian)	Q87185750	Lori Anne Ferrell
Festenstein, Matthew (philosopher)	Q87185751	Matthew Festenstein. Political philosopher.
Ffarington, Susan Maria (historian)	Q22226831	Susan Maria Ffarington
Field, C (historian)		C. Field. Contributor to Journal of the Society for Army Historical Research.
Field, Jacob F (historian)	Q38888561	Jacob F. Field. Historian of London.
Fielding, John (historian)	Q87184974	John Fielding. Woodford's diary.
Finberg, H P R (historian)	Q20711426	Herbert Patrick Reginald Finberg. Lanscape historian.
Finch, Mary E (historian)	Q87184977	Mary E. Finch
Fincham, Kenneth (historian)	Q87185753	Kenneth Fincham
Finlay, Roger (historian)	Q86982753	Roger A. P. Finlay
Finn, Finola (historian)	Q109908908	Finola Finn.
Finnegan, Michael D (historian)	Q109908909	Michael David Finnegan.
Firth, C H (historian)	Q5078769	Sir Charles Harding Firth
Firth, Katharine R (historian)	Q123668423	Katharine R. Firth.
Fisher, Eric J (historian)	Q58453949	Eric John Fisher.
Fisher, F J (historian)	Q87184980	Frederick Jack Fisher
Fisher, John (historian)	Q20733420	John Fisher. Historian of Wales. Not the economic historian F.J. Fisher.
Fishwick, Henry (historian)	Q87184212	Henry Fishwick
Fissel, Mark Charles (historian)	Q87185758	Mark Charles Fissel
Fitter, Chris (literary scholar)	Q123668424	Christopher John Fitter, aka Chris Fitter.
Fitzgibbons, Jonathan (historian)	Q87183692	Jonathan Raymond Fitzgibbons
Fleet, Peter F (historian)	Q109908910	Peter F. Fleet.
Fleming, David (historian)		David Fleming. Local historian of Leicestershire.
Fletcher, Anthony (historian)	Q19957789	Anthony John Fletcher
Flintham, David (historian)	Q87183694	David Flintham
Foard, Glenn (archaeologist)	Q15130124	Glenn Foard
Forbes, John S (historian)	Q87184981	John S. Forbes. Goldsmith and historian.
Ford, G A (historian)	Q109908911	G. A. Ford.
Forshaw, Maxine (historian)		Maxine Forshaw. Editor of Cromwelliana.
Fortescue, G K (librarian)	Q18910543	George Knottesford Fortescue. Librarian at the British Museum and cataloguer of the Thomason Tracts.
Foster, Janet (archivist)	Q123668425	Janet Foster. Wrote ''British Archives'' with Julia Sheppard.
Fowler, George Herbert (historian)	Q5540523	George Herbert Fowler
Fox, Adam (1883-1977, poet)	Q349355	Adam Fox (1883-1977). Clergyman, academic and poet. Also wrote histories of Westminster Abbey and the Skinners' Company.
Fox, Adam (social historian)	Q87067562	Adam Fox (born 1964). Social historian at University of Edinburgh. Has published about authority and oral culture.
Foxley, Rachel (historian)	Q87185760	Rachel Foxley
Foyster, Elizabeth A (historian)	Q87185763	Elizabeth Ann Foyster
Fraser, Antonia (historian)	Q242796	Lady Antonia Fraser (née Pakenham, sometimes known as Lady Antonia Pinter)
Fraser, Edward (historian)	Q64841613	Edward Fraser. Contributor to Journal of the Society for Army Historical Research.
Freist, Dagmar (historian)	Q1157274	Dagmar Freist
French, Henry R (historian)	Q54605650	Henry R. French
Friedeburg, Robert von (historian)	Q15428592	Robert von Friedeburg
Froide, Amy M (historian)	Q87185765	Amy M. Froide
Frost, David L (literary scholar)	Q123668426	David Leonard Frost.
Frost, Robert I (historian)	Q7345761	Robert I. Frost
Frye, Susan (historian)	Q87185768	Susan Frye
Fudge, Erica (literary scholar)	Q87185770	Erica Fudge
Fulbrook, Mary (historian)	Q1507413	Mary Fulbrook
Fullerton, Samuel (historian)	Q83422365	Samuel Fullerton. Articles on print culture and sexual politics.
Fumerton, Patricia (literary scholar)	Q87185771	Patricia Fumerton
Gadd, Ian Anders (historian)	Q87184984	Ian Anders Gadd
Gair, W R (literary scholar)	Q109908912	W. R. Gair.
Gammon, J D (historian)	Q109908913	J. D. Gammon.
Gants, David (literary scholar)	Q87183600	David Gants
Gapper, Claire (historian)	Q47543427	Claire Gapper.
Gardiner, Dorothy (historian)	Q18576052	Dorothy Gardiner (nee Kempe). Editor of Oxinden letters.
Gardiner, S R (historian)	Q1770846	Samuel Rawson Gardiner
Garner, A A (historian)	Q87184215	Arthur Albert Garner
Gaunt, Peter (historian)	Q87184217	Peter Gaunt
Gent, Jacqueline Van (historian)	Q82637259	Jacqueline Van Gent
Gentles, Ian J (historian)	Q64007197	Ian James Gentles
George, Mary Dorothy (historian)	Q16006997	Mary Dorothy George (nee Gordon). Historian and cataloguer at British Museum.
George, Warwick K (historian)		Warwick K. George. Article on J. H. Hexter and middle group.
Gerhold, Dorian (historian)	Q124808572	Dorian Gerhold. Former Clerk of the House of Commons. Architectural and transport historian.
Gerrard, Christopher (archaeologist)	Q56557126	Christopher Gerrard
Geuter, V R (historian)	Q109908914	V. R. Geuter.
Geyl, Pieter (historian)	Q559235	Pieter Geyl
Gianoutsos, Jamie A (historian)	Q119352618	Jamie A. Gianoutsos. Intellectual historian. Book on gender and classical republicanism in 17th-century England.
Gibbs, Albert Ernest (historian)		Albert Ernest Gibbs. Local historian of Hertfordshire. Possibly aka Arthur Ernest Gibbs or this may be a different author also writing on Herts.
Gibbs, Vicary (author)	Q7924986	Vicary Gibbs (1853-1932). Politician and editor of ''The Complete Peerage''.
Gibney, Jane (literary scholar)	Q109908916	Jane Gibney.
Gibney, John (historian)	Q87185773	John Gibney
Gibson, Jeremy (historian)	Q87184220	Jeremy Sumner Wycherley Gibson
Gibson, Kenneth (historian)		Kenneth Gibson. Thesis Nottingham Trent University (1999): Eschatology, apocalypse and millenarianism in seventeenth century Protestant thought.
Gilbert, C D (historian)	Q123668427	C. Don Gilbert. Forenames may be Christopher Donald. Articles on catholics in Worcestershire 1990s. May or may not be same as scientist with same name.
Gill, Alison (historian)	Q109908917	Alison Ann McKay Gill.
Gill, Catie (historian)	Q109908918	Catie Gill.
Gill, John S (historian)	Q109908919	John S. Gill.
Gillanders, Susan (historian)	Q109908920	Susan Gillanders.
Gillespie, Alexandra (historian)	Q87184986	Alexandra Gillespie
Gillespie, Katharine (literary scholar)	Q87185775	Katharine Gillespie
Gillespie, Raymond (historian)	Q87184224	Raymond Gillespie
Gilmore, Margaret C (literary scholar)	Q109908921	Margaret C. Gilmore.
Gilmour, Lauren (historian)	Q87184987	Lauren Gilmour
Gittings, Clare (historian)	Q87185782	Clare Gittings
Gladwish, Paul (historian)	Q123668428	Paul Gladwish. Articles on midlands, including clubmen and land sales.
Glaser, Brigitte (literary scholar)	Q123668429	Brigitte Glaser. Probably born 1960. Middle name probably Johanna. Not same as author of crime fiction.
Glass, D V (sociologist)	Q539414	David Victor Glass. Sociologist and historical demographer.
Glete, Jan (historian)	Q5761493	Jan Glete
Glover, Stephen (historian)	Q7609325	Stephen Glover. Historian of Derbyshire.
Godwin, G N (historian)	Q17626696	George Nelson Godwin. Historian of Hampshire.
Goldgar, Anne (historian)	Q75275142	Anne Goldgar
Goldstone, Jack A (historian)	Q4141387	Jack A. Goldstone
Goodacre, John (historian)	Q123668430	John Goodacre.
Goodare, Julian (historian)	Q87185785	Julian Goodare
Goode, James (literary scholar)		James Goode. Thesis University of Birmingham (1929): John Milton: the making of an epic poet.
Goodwin, Deborah (historian)		Deborah Goodwin. Local historian of Devon, especially Totnes.
Goose, Nigel (historian)	Q87184990	Nigel Goose
Gordon, Andrew (literary scholar)	Q87489566	Andrew Gordon. Professor at University of Aberdeen working on early-modern literature and culture. Edited ''Performing London''. Not same as American historian studying Japan or British naval historian.
Gorman, Cassandra E (literary scholar)	Q109908922	Cassandra Elizabeth Gorman.
Goto, H (historian)		H. Goto. Thesis University of Cambridge (2008): The grand jury in seventeenth century England, with special reference to the North Riding of Yorkshire.
Gould, Mark (historian)	Q87183601	Mark Gould
Gowing, Laura (historian)	Q19957933	Laura Gowing
Graham, Aaron (historian)	Q87183697	Aaron Graham
Graham, Darren P (historian)	Q86982757	Darren P. Graham. Pike and Shot Society.
Graham, Elspeth (literary scholar)	Q87066619	Elspeth A. Graham (born 1953). Literary scholar and cultural historian at Liverpool John Moores University. Has written on horses and early-modern culture. PhD on Milton from Manchester University.
Graham, Kathryn M (psychologist)	Q87185787	Kathryn Marie Graham. Psychologist studying addiction and violence. Co-authored article about men and women fighting side by side in 17th-century.
Grant, T J (literary scholar)		T. J. Grant. Thesis University of Cambridge (2001): The uses of animals in English early modern drama, 1558-1642.
Granville, Roger (historian)	Q87183700	Roger Granville
Grassby, Richard (historian)	Q87185789	Richard Grassby
Gratton, James Malcolm (historian)	Q87183702	James Malcolm Gratton
Graves, Neil D (literary scholar)	Q109908923	Neil David Graves.
Graves, Pamela (archaeologist)	Q56118649	C. Pamela Graves, AKA Pam Graves.
Gray, Arthur (historian)	Q47492794	Arthur Gray. Historian of Cambridgeshire.
Gray, C L T (historian)	Q109908924	C. L. T. Gray.
Gray, Catherine (literary scholar)	Q123668431	Catherine Gray. Women writers.
Gray, Irvine (archivist)	Q63362026	Irvine Egerton Gray. Archivist who wrote guide to county records.
Gray, Neal (historian)		Neal Gray. Marine planner and military historian. Book on Eastern Association army.
Gray, Todd (historian)	Q16839956	Todd Gray. Historian of Devon.
Greaves, Richard L (historian)	Q86728464	Richard L. Greaves. Wrote biographical dictionary of radicals.
Green, Adrian G (historian)	Q109908925	Adrian Gareth Green.
Green, Amanda L (literary scholar)	Q109908926	Amanda Lynn Green.
Green, Emanuel (historian)	Q56650273	Emanuel Green. Historian of Somerset.
Green, Ian (historian)	Q123668432	Ian M. Green. Historian of religion.
Green, Mary Anne Everett (historian)	Q15462250	Mary Anne Everett Green (nee Wood)
Greenberg, Janelle Renfrow (historian)	Q87185790	Janelle Renfrow Greenberg
Greenspan, Nicole (historian)	Q64624983	Nicole Greenspan
Gregory, Eilish (historian)	Q86982760	Eilish M. Gregory
Gregory, Jon (historian)	Q109908927	Jon Gregory.
Grenier, John (historian)	Q87185794	John Grenier. Historian of American colonies.
Griffey, Erin (historian)	Q64697967	Erin Griffey
Griffin, Emma (historian)	Q64692926	Emma Griffin
Griffin, Margaret (historian)	Q87184996	Margaret Griffin
Griffin, Sarah (historian)	Q87183706	Sarah Griffin. Published book on siege of Reading with Partizan Press.
Griffin, Tristan (historian)	Q108801408	Tristan Alexander Robert Griffin. PhD at Cambridge on royalist garrisons.
Griffiths, Dennis (historian)	Q21997805	Dennis Griffiths. Journalist and historian.
Griffiths, E (historian)	Q109908930	E. Griffiths.
Griffiths, Paul (historian)	Q112485275	Paul Griffiths. Works on authority in early-modern England.
Grimshaw, H (historian)		H. Grimshaw. Contributor to Journal of the Society for Army Historical Research.
Gritt, Andrew J (historian)	Q109908931	Andrew Jonathan Gritt.
Grosjean, Alexia (historian)	Q60675601	Alexia Grosjean
Gruber von Arni, Eric (historian)	Q87184998	Eric Gruber von Arni
Guerrini, Anita (historian)	Q68566178	Anita Guerrini
Guibbory, Achsah (historian)	Q16729482	Achsah Guibbory
Guilding, J M (historian)	Q123668435	J. M. Guilding. Local historian of Berkshire.
Guilford, Everard Leaver (historian)	Q86982762	Everard Leaver Guilford
Gunn, Simon (historian)	Q41787272	Simon Gunn. Historian of modern Britain and cultural theory.
Gunn, Steven (historian)	Q87185795	Steven Gunn
Gurney, John (historian)	Q109908932	John Gurney.
Guth, DeLloyd J (historian)	Q63755567	DeLloyd J. Guth
Guttery, David R (historian)	Q87184226	David Reginald Guttery
Haan, Estelle (literary scholar)	Q93387436	Estelle Haan.
Habakkuk, H J (historian)	Q6237166	Hrothgar John Habakkuk, known as Sir John Habakkuk. Economic historian.
Hackett, Martin (historian)	Q87184229	Martin Hackett
Haecker, Charles M (archaeologist)	Q87183707	Charles M. Haecker
Hagen, T K (historian)	Q115526281	Timothy Karl Hagen. University of California Santa Barbara thesis on Gustavus Adolphus.
Haigh, Christopher (historian)	Q5112461	Christopher Haigh
Hailwood, Mark (historian)	Q87185798	Mark Hailwood
Hainsworth, David R (historian)	Q87185000	David Roger Hainsworth
Halasz, Alexandra (historian)	Q87185800	Alexandra Halasz
Halcomb, Joel Andrew (historian)	Q123668436	Joel Andrew Halcomb.
Haldane, Angus (art historian)	Q87183710	Angus Haldane
Hall, Alfred Rupert (historian)	Q2176530	Alfred Rupert Hall. Historian of science.
Hall, Derek (historian)		Derek Hall. Partizan Press book on Richard Norton's horse regiment.
Hall, Dianne (historian)	Q87185806	Dianne Hall
Hall, James (historian)	Q15994474	James Hall. Historian of Cheshire.
Halliwell-Phillipps, J O (historian)	Q321691	James Orchard Halliwell-Phillipps
Hamilton, Alexander Henry Abercromby (historian)	Q76271092	Alexander Henry Abercromby Hamilton
Hamilton, Donna B (literary scholar)	Q87185809	Donna B. Hamilton
Hamilton, Dorothy E (historian)	Q109908933	Dorothy Elizabeth Hamilton.
Hamling, Tara (historian)	Q87185811	Tara Hamling
Hammer, Paul (historian)	Q15076357	Paul E. J. Hammer
Hammond, Peter W (historian)	Q122388559	Peter William Hammond. Medieval historian and editor of ''The Complete Peerage''.
Hammons, Pamela S (literary scholar)	Q87185812	Pamela S. Hammons
Hamper, William (historian)	Q15994476	William Hamper
Hanada, Taihei (literary scholar)	Q109908934	Taihei Hanada.
Handley, Christopher S (historian)	Q87185001	Christopher Sampson Handley
Hanebaum, Simone (historian)	Q109908935	Simone Hanebaum.
Hannan, Leonie K J (historian)	Q109908936	Leonie K. J. Hannan.
Harcourt, Edward William Vernon (historian)	Q3048714	Edward William Vernon Harcourt. British politician and author.
Hardacre, Paul H (historian)	Q113587326	Paul Hoswell Hardacre. Contributor to Journal of the Society for Army Historical Research. Edited Bampfield's Apology.
Harding, David Frankland (historian)	Q87184232	David Frankland Harding
Harding, Vanessa A (historian)	Q19958019	Vanessa A. Harding
Hardman, Karen (historian)		Karen Faith Edith Hardman. Thesis Queen Mary, University of London (2011): A life from letters: John Egerton, First Earl of Bridgewater, 1625-1642.
Harland, John (historian)	Q15994483	John Harland
Harrington, Melanie Louise (historian)	Q86982764	Melanie Louise Harrington. Not Melanie E. Harrington.
Harrington, Peter (historian)	Q60056999	Peter Harrington
Harris, Edward C (historian)	Q779069	Edward C. Harris
Harris, Michael (historian)	Q112369130	Michael Harris. Book historian. Probably at Birkbeck.
Harris, Neil (literary scholar)	Q109908937	Neil Harris.
Harris, Oliver (historian)		Oliver Harris. Work on John Stow. Not Leicester archaeologist or Keele literary critic.
Harris, Tim (historian)	Q66796035	Tim Harris
Harrison, George A (historian)	Q86982766	George Anthony Harrison
Hartle, Paul N (literary scholar)	Q87183604	Paul N. Hartle
Hartman, M P (historian)	Q109908938	M. P. Hartman.
Hartmann, Anna-Maria (literary scholar)	Q123668437	Anna-Maria Regina Hartmann.
Harvey, Elizabeth D (literary scholar)	Q87185814	Elizabeth D. Harvey
Harvey, Karen (historian)	Q87404426	Karen L. Harvey. Early-modern gender and material culture, mostly 18th-century but some more general.
Harvey, P D A (historian)	Q87185893	Paul Dean Adshead Harvey
Harvey, William John (historian)		William John Harvey. Inhabitants of London.
Hatcher, John (historian)	Q87185895	John Hatcher (born 1942). Economic historian and demographer.
Havinden, Michael (historian)	Q75641015	Michael Ashley Havinden. Landscape historian.
Havlice, Patricia Pate (bibliographer)	Q87185896	Patricia Pate Havlice
Hawkins, Z V (literary scholar)	Q109908939	Z. V. Hawkins.
Haythornthwaite, Philip (historian)	Q7183709	Philip Haythornthwaite
Hazell, Martin (historian)		Martin Hazell. Book on Lord Capel and his regiments.
Heal, Felicity (historian)	Q33133503	Felicity Heal
Heales, R S (literary scholar)	Q109908940	R. S. Heales.
Healey, Jonathan (historian)	Q64706480	Jonathan T. Healey. Social historian.
Healy, Simon (historian)	Q86982768	Simon Mark Healy
Heath-Agnew, E (historian)	Q87183713	E. Heath-Agnew
Heavey, Katherine (literary scholar)	Q109908941	Katherine Heavey.
Hebb, David D (historian)	Q123668438	David Delison Hebb.
Heley, Gwendolynn (historian)	Q109908943	Gwendolynn Heley.
Hellawell, Philippa (historian)	Q91541751	Philippa B. Hellawell. Historian of early-modern science, technology and medicine.
Henderson, Frances M S (historian)	Q109908944	Frances M. S. Henderson.
Henry, Chris (curator)	Q30122704	Chris Henry. Curator and author, formerly at Royal Armouries and Royal Artillery Museum.
Hensman, E W (historian)	Q87184234	E. W. Hensman
Hepworth, Philip (archivist)	Q86982770	Philip Hepworth
Herbert, William (historian)	Q8012233	William Herbert. Historian of London.
Herrup, Cynthia B (historian)	Q5200077	Cynthia B. Herrup
Hess, Ann Giardina (historian)	Q109908945	Ann Giardina Hess.
Hessayon, Ariel (historian)	Q87185897	Ariel Hessayon
Hexter, J H (historian)	Q6105880	Jack H. Hexter
Hey, David G (historian)	Q23010436	David G. Hey
Heywood, Thomas (historian)	Q18672484	Thomas Heywood
Hibberd, Deborah J (historian)	Q109908946	Deborah Joan Hibberd.
Hicks, Philip (historian)	Q87183605	Philip Stephen Hicks
Hidden, Nicholas (historian)	Q86982772	Nicholas Hidden
Higgins, Patricia (librarian)		Patricia Higgins. Wrote on women in 17th-century and contributed to Brian Manning collection. Trained as librarian at Manchester University. Assistant Keeper of Manuscripts at British Museum.
Higgs, Edward (historian)	Q87185898	Edward Higgs. Not E. J. Higgs.
Higham, Robin (historian)	Q16937715	Robin Higham. Military historian.
Higton, Hester K (historian)	Q109908947	Hester Katharine Higton.
Hill, Alexandra (historian)	Q87185004	Alexandra Hill
Hill, Charles Peter (historian)	Q64706322	Charles Peter Hill
Hill, Christopher (historian)	Q719787	Christopher Hill
Hill, Peter (local historian, Northants)	Q85911598	Peter Hill. Local historian of Northamptonshire.
Hill, Peter Robert (archaeologist)	Q85910903	Peter Robert Hill. Archaeologist, stonemason and historian. Edited Major Sanderson's diary. Thesis about construction of Hadrian's wall. Clerk of works at Lincoln Cathedral.
Hillier, Russell M (literary scholar)	Q123668439	Russell M. Hillier.
Hillmann, Henning (historian)	Q86982774	Henning Hillmann
Hinde, Andrew (historian)	Q81769535	Andrew Hinde. Historical demographer.
Hindle, Steve (historian)	Q64708643	Steve Hindle
Hinds, Allen Banks (historian)	Q87185006	Allen Banks Hinds. Edited ''Calendar of State Papers Venetian''.
Hindson, James (historian)	Q109908948	James Hindson.
Hirst, Derek (historian)	Q5262036	Derek Hirst
Hitchcock, David J (historian)	Q109908949	David J. Hitchcock.
Hitchman, Alexander (historian)	Q109908950	Alexander Hitchman.
Hobbs, Steven (historian)	Q86982778	Steven Hobbs. Palaeography.
Hobson, Mary Grizell (historian)	Q123668440	Mary Grizell Hobson. Local historian of Oxfordshire.
Hochberg, Leonard (geographer)		Leonard Hochberg. Historical geographer. Library of Congress n88026921 seems unambiguous but VIAF and Wikidata may be conflated.
Hodgson, John (1779-1845, historian)		John Hodgson (1779-1845), antiquary. '''Not''' editor of ''North Country Diaries''.
Hodgson, John Crawford (historian)		John Crawford Hodgson. Editor of ''North Country Diaries'', alive in 1910.
Hodkinson, Robert (historian)	Q87183716	Robert Hodkinson
Hodson, John Howard (historian)	Q87184239	John Howard Hodson
Hodson, Richard J (historian)	Q109908951	Richard J. Hodson.
Holberton, Edward W (literary scholar)	Q123668441	Edward William Holberton.
Holderness, B A (historian)	Q88646837	Brian Alexander Holderness. Agricultural historian.
Holfelder, Kyle D (historian)	Q109908952	Kyle David Holfelder.
Holiday, Peter G (historian)		Peter George Holiday. Thesis University of Leeds (1966): Royalist composition fines and land sales in Yorkshire, 1645-1665.
Hollaender, Albert E J (historian)	Q87185009	Albert Edwin Johannes Hollaender
